review_text,review_posted_date,review_header,review_rating,review_author
My son loves it!,26 Oct 2018,Great product!,5.0 ,Pert
"Refreshing, I usually don’t like coconut water but I like this brand",04 Mar 2019,Refreshing,5.0 ,Co
"I used to buy cases of Gatorade for my boys during their sport seasons, until I read about the ingredients in those types of products. Last track season, I stopped off at the Whole Foods store before hurrying to my son's district track meet. I grabbed him some ProBars and a couple bottles of VitaCoco Pure Coconut Water. When I handed them to him, he looked at me like I had gone nuts, but what he said to me after his event sold me forever. He said, ""Mom, I felt better during this race than I ever have before! I felt like I was flying, with energy to spare! I could run it all over again!"" I've decided to keep healthy fruit and nut based protein bars and coconut water around from now on! I will admit, though, that neither of my sons actually ""likes"" the taste of it. They think it tastes funny, but I figure it's because of the sugary ""electrolyte"" drinks they've become accustomed to. Since I won't be buying that anymore, they'll either have to get used to this, or just drink water!",18 Apr 2014,I'll never buy Gatorade again!,5.0 ,Pcowles
3 of the vita coco coconut waters when opened for the first time out of the case and not expired at the HS Cross Country meet had mold in them. how can i return the unopened ones?,08 Oct 2018,mold in them,1.0 ,Shellie
Good tasting coconut water,17 Jan 2019,Awesome drink,5.0 ,julio
Bitter,20 Oct 2018,Bitter,1.0 ,Kieffer
I have purchased Vita Coco several times at the grocery store and love it.... However.... This for some reason has a metallic taste to it. I went to Target and purchased more today and tasted fine.... so I'm not sure what's going on with this package,09 Feb 2015,Not sure what's wrong here.,1.0 ,TN Mom
"My favorite of all the flavored coconut waters. Vita Coco is definitely my favorite brand, and this is the best option among them. I've tried most coconut waters, and I now live on these at home for a tasty sweet alternative to water.",21 Sep 2014,Always stocked in the fridge,5.0 ,Christopher T. Gorab
"Oh my GODDESS, this is SO GOOD! Put a little ice, you can even put it in your tea, either is Delicious and VERY Detoxing. ;)",27 Apr 2017,Delicious and Detoxing,5.0 ,LadySelene
Best stuff ever and I can't find it anywhere but here.,29 Aug 2018,Will purchase again,5.0 ,SAUNDRA GONZALEZ
This is a delicious drink and my favorite of the vita coco flavors.,07 Aug 2018,Delicious,5.0 ,Kelly Szczotka
"I don't normally like coconut water, but I really like this lemonade flavored coconut water from Vita Coco.",26 Sep 2017,REALLY LIKE IT!,5.0 ,Marsha
Certainly one of my favorite beverages ever!!!,08 Jul 2018,Enough with all those junk beverages!! Go for the healthier,5.0 ,redbone hound
great tasting,30 Jul 2018,Five Stars,5.0 ,James S. Allen
"This is my favorite of the Vita flavors (coconut water with peach & mango). I recommend you drink all the coconut waters chilled. The mango and peach make this one a little on the sweet side - - so I add water (equal amounts coconut water and water, or even a little more water) and it's just right. Good way to stretch a delicious afternoon treat!",18 Dec 2013,Delicious and nutritious!,5.0 ,Kendall Ford
"This water is so delicious, ones of my favorites without pulp. Very refreshing",15 Feb 2018,Coconut water,5.0 ,Ms. Silk
"My girlfriend and I do a lot of bikram yoga, so one of these after each class is a godsend. They are a great size to throw in your bag and hold up pretty well to a beating (as you throw your bag around, they won't open up). With the new screw-cap design though, we've had some issues with a few bottles here and there leaking when you drink it. Overall though, they have been great (even the new design) and I'd recommend this for anything with regard to hydration.",01 Jul 2013,Great for hydration,5.0 ,Matthew Parlette
Wonderful drink.,23 Aug 2018,Five Stars,5.0 ,Darlene McKimmey
"Great deal,’fast shipping",26 Aug 2018,Great deal on my favorite/most tolerable coconut water available,5.0 ,Peter
"I tend to get headaches if I get dehydrated or when working in the heat, so I bought these because of their nutritional value. These are much better than drinking the ""sports drinks"" that claim to have the same qualities. These taste great and worked very well for me this past summer. Definitely will buy again!",22 Oct 2013,Love these!,5.0 ,L. Edlin
This is great tasting water and it's very hydrating!!!,09 Mar 2018,Five Stars,5.0 ,Kristie Glotz
These were okay but the taste was not for my preference. However the price was good and they were okay to drink the taste wasn't bad just not preferred.,30 Jul 2016,Okay.,3.0 ,RoseB
I've tried several different kinds of coconut water and this is by far the best. All the flavors I've tried have been good -- even the one I liked the least is still good enough to drink without cringing... Just be sure to double check the sizing before ordering... I thought I was getting the larger size containers and was surprised when the smaller size showed up. I didn't read properly my fault...,27 Mar 2013,The best coconut water I've had!,5.0 ,Mandy Arnold
Plan to buy more,01 Mar 2019,Delicious,5.0 ,Erika Carter
"My favorite flavor of coconut water. It's refreshing without being too sweet. It reminds me of drinking a margarita (without the tequila, of course.)",17 Aug 2016,Favorite flavor of coconut water,5.0 ,KimT
Can’t find these everywhere. Dad loves them!,13 Apr 2018,Good stuff,5.0 ,Jillybean
"I could not really taste the contrasting flavors. They seemed to blend in together and also, too sweet.",09 Mar 2017,Too sweet...,3.0 ,MoTif
